class,total_cost,fn_cost,fp_cost,fn_weight
Drug Reaction,170.00,160.00,10.00,5.00
Dengue,92.00,85.00,7.00,5.00
Typhoid,89.00,85.00,4.00,5.00
Cervical Spondylosis,50.00,30.00,20.00,2.00
drug reaction,45.00,15.00,30.00,1.00
allergy,44.00,20.00,24.00,1.00
Diabetes,42.00,32.00,10.00,2.00
Fungal infection,39.00,18.00,21.00,1.00
Allergy,38.00,27.00,11.00,1.00
Fungal Infection,36.00,17.00,19.00,1.00
peptic ulcer disease,35.00,6.00,29.00,1.00
diabetes,31.00,16.00,15.00,1.00
urinary tract infection,31.00,12.00,19.00,1.00
Gastroesophageal Reflux Disease,29.00,16.00,13.00,1.00
Chicken pox,28.00,14.00,14.00,1.00
Peptic Ulcer Disease,27.00,18.00,9.00,1.00
Chicken Pox,26.00,7.00,19.00,1.00
gastroesophageal reflux disease,25.00,14.00,11.00,1.00
Cervical spondylosis,25.00,14.00,11.00,1.00
Common Cold,23.00,17.00,6.00,1.00
Urinary Tract Infection,23.00,18.00,5.00,1.00
Malaria,19.00,15.00,4.00,5.00
Psoriasis,16.00,5.00,11.00,1.00
Varicose Veins,14.00,3.00,11.00,1.00
Bronchial Asthma,12.00,4.00,8.00,2.00
Impetigo,8.00,2.00,6.00,1.00
Hypertension,8.00,2.00,6.00,2.00
Migraine,8.00,4.00,4.00,1.00
Arthritis,6.00,2.00,4.00,2.00
Pneumonia,3.00,0.00,3.00,5.00
Hepatitis A,1.00,0.00,1.00,1.00
Acne,1.00,0.00,1.00,1.00
Dimorphic Hemorrhoids,1.00,0.00,1.00,1.00
Dimorphic Hemmorhoids(Piles),0.00,0.00,0.00,1.00
Diabetes ,0.00,0.00,0.00,1.00
Aids,0.00,0.00,0.00,10.00
(Vertigo) Paroymsal  Positional Vertigo,0.00,0.00,0.00,1.00
Alcoholic Hepatitis,0.00,0.00,0.00,5.00
Chronic Cholestasis,0.00,0.00,0.00,1.00
Gastroenteritis,0.00,0.00,0.00,1.00
Jaundice,0.00,0.00,0.00,1.00
Hypoglycemia,0.00,0.00,0.00,2.00
Hyperthyroidism,0.00,0.00,0.00,2.00
Hypertension ,0.00,0.00,0.00,1.00
Hepatitis C,0.00,0.00,0.00,1.00
Hepatitis D,0.00,0.00,0.00,1.00
Hepatitis E,0.00,0.00,0.00,5.00
Gerd,0.00,0.00,0.00,2.00
Heart Attack,0.00,0.00,0.00,10.00
Hepatitis B,0.00,0.00,0.00,1.00
Hypothyroidism,0.00,0.00,0.00,2.00
Tuberculosis,0.00,0.00,0.00,5.00
Osteoarthristis,0.00,0.00,0.00,2.00
Paralysis (Brain Hemorrhage),0.00,0.00,0.00,10.00
Peptic Ulcer Diseae,0.00,0.00,0.00,1.00
